rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
21,Grand Theft Auto V,Action,M,PlayStation 4,Rockstar Games,Rockstar North,19.39,6.06,9.71,0.6,3.02,2014,97.0,8.3
35,Call of Duty: Black Ops 3,Shooter,M,PlayStation 4,Activision,Treyarch,15.09,6.18,6.05,0.41,2.44,2015,,
46,Red Dead Redemption 2,Action-Adventure,M,PlayStation 4,Rockstar Games,Rockstar Games,13.94,5.26,6.21,0.21,2.26,2018,,
51,Call of Duty: WWII,Shooter,M,PlayStation 4,Activision,Sledgehammer Games,13.4,4.67,6.21,0.4,2.12,2017,,
69,FIFA 18,Sports,E,PlayStation 4,EA Sports,EA Vancouver,11.8,1.27,8.64,0.15,1.73,2017,,
77,FIFA 17,Sports,E,PlayStation 4,Electronic Arts,EA Canada,10.94,1.26,7.95,0.12,1.61,2016,85.0,5.0
85,Horizon: Zero Dawn,Action,T,PlayStation 4,Sony Interactive Entertainment,Guerrilla Games,10.0,,,,,2017,,
98,Call of Duty: Black Ops IIII,Shooter,M,PlayStation 4,Activision,Treyarch,9.32,4.05,3.28,0.5,1.49,2018,,
101,FIFA 19,Sports,E,PlayStation 4,Electronic Arts,EA Sports,9.15,0.84,6.87,0.1,1.34,2018,,
103,Marvel's Spider-Man,Action-Adventure,T,PlayStation 4,Sony Interactive Entertainment,Insomniac Games,9.0,,,,,2018,,
109,Uncharted 4: A Thief's End,Action,T,PlayStation 4,Sony Interactive Entertainment,Naughty Dog,8.7,,,,,2016,93.0,7.9
113,Call of Duty: Infinite Warfare,Shooter,M,PlayStation 4,Activision,Infinity Ward,8.48,3.11,3.83,0.19,1.36,2016,77.0,3.4
114,Fallout 4,Role-Playing,M,PlayStation 4,Bethesda Softworks,Bethesda Game Studios,8.48,2.91,3.97,0.27,1.34,2015,87.0,6.5
119,FIFA 16,Sports,E,PlayStation 4,EA Sports,EA Canada,8.22,1.15,5.77,0.07,1.23,2015,82.0,4.3
121,Star Wars Battlefront (2015),Shooter,T,PlayStation 4,Electronic Arts,EA DICE,8.03,3.31,3.19,0.23,1.3,2015,,
130,Call of Duty: Advanced Warfare,Shooter,M,PlayStation 4,Activision,Sledgehammer Games,7.53,2.84,3.34,0.14,1.22,2014,83.0,5.7
138,Battlefield 1,Shooter,M,PlayStation 4,Electronic Arts,EA DICE,7.26,2.2,3.65,0.29,1.12,2016,88.0,8.4
167,Minecraft,Misc,E10,PlayStation 4,Sony Computer Entertainment,Mojang,6.33,1.89,3.13,0.35,0.96,2014,,
168,FIFA 15,Sports,E,PlayStation 4,EA Sports,EA Canada,6.32,0.83,4.49,0.05,0.94,2014,82.0,5.7
174,God of War (2018),Action,M,PlayStation 4,Sony Interactive Entertainment,SIE Santa Monica Studio,6.15,2.83,2.17,0.13,1.02,2018,,
191,Destiny,Shooter,T,PlayStation 4,Activision,Bungie,5.76,2.53,2.13,0.16,0.94,2014,76.0,6.1
194,Uncharted: The Nathan Drake Collection,Action,,PlayStation 4,Sony Computer Entertainment,Bluepoint Games,5.7,2.55,2.11,0.1,0.94,2015,86.0,8.1
216,The Witcher 3: Wild Hunt,Role-Playing,M,PlayStation 4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,5.39,1.48,2.82,0.28,0.81,2015,92.0,9.2
250,Final Fantasy XV,Role-Playing,T,PlayStation 4,Square Enix,Square Enix,5.07,1.81,1.53,1.05,0.68,2016,,
274,Crash Bandicoot N. Sane Trilogy,Platform,E10,PlayStation 4,Activision,Vicarious Visions,4.83,1.09,2.92,0.07,0.74,2017,,
285,Monster Hunter: World,Action,T,PlayStation 4,Capcom,Capcom,4.67,1.03,1.06,2.17,0.42,2018,,
298,Overwatch,Shooter,T,PlayStation 4,Blizzard Entertainment,Blizzard Entertainment,4.54,1.84,1.8,0.17,0.73,2016,90.0,6.1
301,Star Wars Battlefront II (2017),Shooter,T,PlayStation 4,Electronic Arts,EA DICE,4.53,1.7,1.99,0.12,0.73,2017,,
319,Tom Clancy's The Division,Shooter,M,PlayStation 4,Ubisoft,Massive Entertainment,4.37,1.49,2.04,0.16,0.69,2016,80.0,7.0
322,Tom Clancy's Rainbow Six: Siege,Shooter,,PlayStation 4,Ubisoft,Ubisoft Montreal,4.36,1.29,2.06,0.36,0.64,2015,73.0,7.3
324,Watch Dogs,Action-Adventure,M,PlayStation 4,Ubisoft,Ubisoft Montreal,4.32,1.4,2.13,0.11,0.68,2014,80.0,6.3
344,Call of Duty: Ghosts,Shooter,M,PlayStation 4,Activision,Infinity Ward,4.17,1.79,1.64,0.05,0.69,2013,78.0,3.7
352,Assassin's Creed: Unity,Action,M,PlayStation 4,Ubisoft,Ubisoft Montreal,4.14,1.25,2.16,0.09,0.65,2014,70.0,4.9
353,Destiny 2,Shooter,T,PlayStation 4,Activision,Bungie,4.14,1.92,1.44,0.1,0.69,2017,,
356,Batman: Arkham Knight,Action,M,PlayStation 4,Warner Bros. Interactive,Rocksteady Studios,4.11,1.65,1.68,0.11,0.66,2015,87.0,7.6
362,Assassin's Creed Origins,Action,M,PlayStation 4,Ubisoft,Ubisoft Montreal,4.06,1.22,2.11,0.11,0.63,2017,,
363,Far Cry 4,Shooter,M,PlayStation 4,Ubisoft,Ubisoft Montreal,4.06,1.18,2.14,0.11,0.63,2014,85.0,7.7
381,NBA 2K16,Sports,E10,PlayStation 4,2K Sports,Visual Concepts,3.98,2.56,0.66,0.05,0.71,2015,87.0,6.7
383,Far Cry 5,Action,M,PlayStation 4,Ubisoft,Ubisoft,3.95,1.44,1.73,0.15,0.62,2018,,
384,Battlefield 4,Shooter,M,PlayStation 4,Electronic Arts,EA DICE,3.94,1.4,1.74,0.19,0.62,2013,85.0,6.9
