rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
4,PlayerUnknown's Battlegrounds,Shooter,,PC,PUBG Corporation,PUBG Corporation,36.6,,,,,2017,,
10,Minecraft,Misc,,PC,Mojang,Mojang AB,30.01,,,,,2010,,
23,Garry's Mod,Misc,,PC,Unknown,Team Garry,18.58,,,,,2004,,
37,Counter-Strike: Source,Shooter,M,PC,VU Games,Valve Software,15.0,,,,,2004,88.0,8.9
56,Portal 2,Shooter,E10,PC,Valve,Valve Software,13.06,,,,,2011,95.0,8.8
61,Grand Theft Auto V,Action,M,PC,Rockstar Games,Rockstar North,12.6,,,,,2015,96.0,7.9
65,Diablo III,Role-Playing,M,PC,Blizzard Entertainment,Blizzard Entertainment,12.0,,,,,2012,88.0,4.0
76,Terraria,Platform,T,PC,Unknown,Re-Logic,11.0,,,,,2011,83.0,8.5
87,RollerCoaster Tycoon 3,Strategy,E,PC,Atari,Frontier Developments,10.0,,,,,2004,81.0,5.0
89,Portal,Shooter,T,PC,Valve Corporation,Valve Software,9.97,,,,,2008,,
93,StarCraft,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.5,,,,,1998,88.0,9.1
102,Rust,Action-Adventure,,PC,Facepunch Studios,Facepunch Studios,9.15,,,,,2018,,
104,Half-Life 2,Shooter,M,PC,VU Games,Valve Software,8.88,,,,,2004,96.0,9.1
124,The Sims 3,Simulation,T,PC,Electronic Arts,EA Redwood Shores,7.96,1.01,6.46,,0.5,2009,86.0,7.6
141,The Binding of Isaac,Action,,PC,Edmund McMillen,Edmund McMillen,7.17,,,,,2011,84.0,8.3
160,Guild Wars,Role-Playing,T,PC,NCSoft,ArenaNet,6.5,,,,,2005,89.0,8.4
179,Myst,Adventure,E,PC,Broderbund,Cyan Worlds,6.0,,,,,1995,,
182,Euro Truck Simulator 2,Simulation,,PC,SCS Software,SCS Software,5.98,,,,,2013,79.0,8.7
186,Age of Empires II: HD Edition,Strategy,,PC,Microsoft Studios,Hidden Path Entertainment,5.82,,,,,2013,,
209,Tomb Raider (2013),Action,M,PC,Square Enix,Crystal Dynamics,5.5,,,,,2013,86.0,8.5
210,The Witcher 3: Wild Hunt,Role-Playing,M,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,5.48,,,,,2015,93.0,9.3
225,The Forest,Misc,,PC,Endnight Games Ltd,Unknown,5.3,,,,,2014,,
231,Fallout: New Vegas,Role-Playing,M,PC,Bethesda Softworks,Obsidian Entertainment,5.22,,,,,2010,84.0,8.6
241,Microsoft Flight Simulator,Simulation,E,PC,Microsoft,Microsoft,5.12,3.22,1.69,,0.2,1996,,
255,Cities: Skylines,Simulation,E,PC,Paradox Interactive,Colossal Order,5.0,,,,,2015,85.0,8.9
258,Guild Wars 2,Role-Playing,T,PC,NCSoft,ArenaNet,5.0,,,,,2012,90.0,7.9
267,Stardew Valley,Simulation,E10,PC,Chucklefish,ConcernedApe,4.91,,,,,2016,,
283,World of Warcraft: Cataclysm,MMO,T,PC,Blizzard Entertainment,Blizzard Entertainment,4.7,,,,,2010,90.0,5.6
294,BioShock Infinite,Shooter,M,PC,2K Games,Irrational Games,4.56,,,,,2013,94.0,8.5
302,Dead Island,Action,M,PC,Deep Silver,Techland,4.52,,,,,2011,80.0,6.8
303,Arma 2: Operation Arrowhead,Shooter,,PC,Unknown,Bohemia Interactive,4.51,,,,,2011,,
304,ARK: Survival Evolved,Action-Adventure,T,PC,Studio Wildcard,Studio Wildcard,4.5,,,,,2015,,
305,Riven: The Sequel to Myst,Adventure,E,PC,Red Orb,Cyan Worlds,4.5,,,,,1997,83.0,
306,StarCraft II: Wings of Liberty,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,4.5,,,,,2010,93.0,8.2
