rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
108,Grand Theft Auto V,Action,M,Xbox One,Rockstar Games,Rockstar North,8.72,4.7,3.25,0.01,0.76,2014,97.0,7.9
135,Call of Duty: Black Ops 3,Shooter,M,Xbox One,Activision,Treyarch,7.37,4.63,2.04,0.02,0.68,2015,,
173,Call of Duty: WWII,Shooter,M,Xbox One,Activision,Sledgehammer Games,6.23,3.75,1.91,,0.57,2017,,
189,Red Dead Redemption 2,Action-Adventure,M,Xbox One,Rockstar Games,Rockstar Games,5.77,3.76,1.47,,0.54,2018,,
212,Minecraft,Misc,E10,Xbox One,Microsoft Studios,Mojang,5.43,3.23,1.71,,0.49,2014,,
230,Call of Duty: Advanced Warfare,Shooter,M,Xbox One,Activision,Sledgehammer Games,5.22,3.25,1.49,0.01,0.48,2014,81.0,5.4
239,Battlefield 1,Shooter,M,Xbox One,Electronic Arts,EA DICE,5.13,3.37,1.26,0.02,0.48,2016,87.0,8.2
251,Fallout 4,Role-Playing,M,Xbox One,Bethesda Softworks,Bethesda Game Studios,5.03,2.94,1.62,0.02,0.45,2015,88.0,6.2
259,Halo 5: Guardians,Shooter,T,Xbox One,Microsoft Studios,343 Industries,5.0,,,,,2015,84.0,6.4
272,Call of Duty: Black Ops IIII,Shooter,M,Xbox One,Activision,Treyarch,4.85,3.27,1.12,,0.46,2018,,
276,Call of Duty: Infinite Warfare,Shooter,M,Xbox One,Activision,Infinity Ward,4.79,2.91,1.44,,0.44,2016,78.0,3.1
349,Star Wars Battlefront (2015),Shooter,T,Xbox One,Electronic Arts,EA DICE,4.15,2.49,1.26,0.02,0.38,2015,,
408,FIFA 17,Sports,E,Xbox One,Electronic Arts,EA Canada,3.71,1.04,2.4,,0.27,2016,84.0,5.5
425,Gears of War: Ultimate Edition,Shooter,M,Xbox One,Microsoft Studios,The Coalition,3.62,2.88,0.37,,0.37,2015,82.0,7.5
432,Assassin's Creed: Unity,Action,M,Xbox One,Ubisoft,Ubisoft Montreal,3.58,2.34,0.9,0.0,0.34,2014,72.0,4.1
465,Halo: The Master Chief Collection,Shooter,M,Xbox One,Microsoft Studios,343 Industries,3.44,2.06,1.04,0.03,0.31,2014,85.0,7.2
471,Destiny,Shooter,T,Xbox One,Activision,Bungie,3.41,2.17,0.92,,0.32,2014,75.0,5.5
477,Gears of War 4,Shooter,M,Xbox One,Microsoft Studios,The Coalition,3.38,2.17,0.9,,0.32,2016,84.0,6.2
